interation no:1                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   85   44173   -8.214381e+00    0.000e+00    2.730e-02    1.468e+00
   86   44686   -8.224585e+00    0.000e+00    2.759e-02    1.729e+00
   87   45199   -8.247048e+00    0.000e+00    2.740e-02    8.175e-01
   88   45713   -8.281169e+00    0.000e+00    2.747e-02    1.137e+00
   89   46227   -8.315530e+00    0.000e+00    2.751e-02    1.156e+00
   90   46741   -8.338121e+00    0.000e+00    2.749e-02    6.432e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91   47255   -8.429732e+00    0.000e+00    2.740e-02    2.510e+00
   92   47769   -8.435724e+00    0.000e+00    2.738e-02    1.421e-01
   93   48283   -8.479985e+00    0.000e+00    2.722e-02    1.057e+00
   94   48797   -8.481282e+00    0.000e+00    2.722e-02    2.850e-02
   95   49310   -8.524549e+00    0.000e+00    2.711e-02    1.814e+00
   96   49824   -8.600783e+00    0.000e+00    2.712e-02    2.043e+00
   97   50338   -8.646810e+00    0.000e+00    2.861e-02    1.069e+00
   98   50853   -8.647330e+00    0.000e+00    2.862e-02    9.982e-03
   99   51367   -8.680029e+00    0.000e+00    2.864e-02    6.608e-01
  100   51880   -8.755612e+00    0.000e+00    2.864e-02    1.631e+00
  101   52393   -8.762035e+00    0.000e+00    2.866e-02    3.253e-01
  102   52906   -8.848254e+00    0.000e+00    2.879e-02    3.568e+00
  103   53420   -8.868342e+00    0.000e+00    2.881e-02    5.335e-01
  104   53933   -8.889011e+00    0.000e+00    2.885e-02    6.622e-01
  105   54447   -8.921073e+00    0.000e+00    2.929e-02    7.480e-01
  106   54961   -8.935022e+00    0.000e+00    2.972e-02    3.260e-01
  107   55474   -8.955119e+00    0.000e+00    2.973e-02    4.610e-01
  108   55988   -8.969402e+00    0.000e+00    2.975e-02    3.350e-01
  109   56502   -9.015053e+00    0.000e+00    2.980e-02    1.080e+00
  110   57016   -9.046828e+00    0.000e+00    2.983e-02    7.575e-01
  111   57530   -9.054379e+00    0.000e+00    2.983e-02    1.650e-01
  112   58043   -9.098353e+00    0.000e+00    2.983e-02    1.114e+00
  113   58557   -9.140106e+00    0.000e+00    2.981e-02    9.045e-01
  114   59071   -9.142668e+00    0.000e+00    2.981e-02    5.464e-02
  115   59586   -9.154258e+00    0.000e+00    2.981e-02    3.224e-01
  116   60099   -9.194204e+00    0.000e+00    2.983e-02    1.137e+00
  117   60612   -9.274195e+00    0.000e+00    2.988e-02    2.149e+00
  118   61125   -9.294910e+00    0.000e+00    2.989e-02    6.428e-01
  119   61638   -9.356798e+00    0.000e+00    2.983e-02    1.724e+00
  120   62152   -9.453274e+00    0.000e+00    2.986e-02    2.196e+00

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  121   62666   -9.475743e+00    0.000e+00    2.986e-02    4.625e-01
  122   63180   -9.493733e+00    0.000e+00    2.985e-02    3.741e-01
  123   63693   -9.547526e+00    0.000e+00    3.072e-02    1.204e+00
  124   64207   -9.555419e+00    0.000e+00    3.078e-02    2.430e-01
